time,center_xi,center_xs,center_xv
0,0,0,0
1,0.048808848160996,1,0.048808848161008
2,0.07669427385125,1,0.076694273851246
3,0.0884633441465,1,0.088463344146459
4,0.092043051234975,1,0.09204305123494
5,0.092517944161936,1,0.09251794416192
6,0.09220503750594,1,0.092205037505935
7,0.091883416296233,1,0.091883416296233
8,0.091702021254892,1,0.091702021254893
9,0.091626749271813,1,0.091626749271814
10,0.091604445399678,1,0.091604445399678
11,0.09160184710795,1,0.09160184710795
12,0.091604066599401,1,0.091604066599401
13,0.091606205130557,1,0.091606205130557
14,0.091607385549665,1,0.091607385549665
15,0.091607866902266,1,0.091607866902266
16,0.091608005726606,1,0.091608005726606
17,0.091608019505705,1,0.091608019505705
18,0.091608003907316,1,0.091608003907316
19,0.091607989713031,1,0.091607989713031
20,0.091607982039625,1,0.091607982039625
21,0.091607978965073,1,0.091607978965073
22,0.091607978103267,1,0.091607978103267
23,0.091607978033818,1,0.091607978033818
24,0.091607978142652,1,0.091607978142652
25,0.091607978236715,1,0.091607978236715
26,0.091607978286545,1,0.091607978286545
27,0.091607978306132,1,0.091607978306132
28,0.091607978311464,1,0.091607978311464
29,0.091607978311807,1,0.091607978311807
30,0.091607978311058,1,0.091607978311058
31,0.091607978310413,1,0.091607978310413
32,0.091607978310082,1,0.091607978310082
33,0.091607978309964,1,0.091607978309964
34,0.091607978309964,1,0.091607978309964
35,0.091607978309964,1,0.091607978309964
36,0.091607978309964,1,0.091607978309964
37,0.091607978309964,1,0.091607978309964
38,0.091607978309964,1,0.091607978309964
39,0.091607978309964,1,0.091607978309964
40,0.091607978309964,1,0.091607978309964
41,0.091607978309964,1,0.091607978309964
42,0.091607978309964,1,0.091607978309964
43,0.091607978309964,1,0.091607978309964
44,0.091607978309964,1,0.091607978309964
45,0.091607978309964,1,0.091607978309964
46,0.091607978309964,1,0.091607978309964
47,0.091607978309964,1,0.091607978309964
48,0.091607978309964,1,0.091607978309964
49,0.091607978309964,1,0.091607978309964
50,0.091607978309964,1,0.091607978309964
51,0.091607978309964,1,0.091607978309964
52,0.091607978309964,1,0.091607978309964
53,0.091607978309964,1,0.091607978309964
54,0.091607978309964,1,0.091607978309964
55,0.091607978309964,1,0.091607978309964
56,0.091607978309964,1,0.091607978309964
57,0.091607978309964,1,0.091607978309964
58,0.091607978309964,1,0.091607978309964
59,0.091607978309964,1,0.091607978309964
60,0.091607978309964,1,0.091607978309964
61,0.091607978309964,1,0.091607978309964
62,0.091607978309964,1,0.091607978309964
63,0.091607978309964,1,0.091607978309964
64,0.091607978309964,1,0.091607978309964
65,0.091607978309964,1,0.091607978309964
66,0.091607978309964,1,0.091607978309964
67,0.091607978309964,1,0.091607978309964
68,0.091607978309964,1,0.091607978309964
69,0.091607978309964,1,0.091607978309964
70,0.091607978309964,1,0.091607978309964
71,0.091607978309964,1,0.091607978309964
72,0.091607978309964,1,0.091607978309964
73,0.091607978309964,1,0.091607978309964
74,0.091607978309964,1,0.091607978309964
75,0.091607978309964,1,0.091607978309964
76,0.091607978309964,1,0.091607978309964
77,0.091607978309964,1,0.091607978309964
78,0.091607978309964,1,0.091607978309964
79,0.091607978309964,1,0.091607978309964
80,0.091607978309964,1,0.091607978309964
81,0.091607978309964,1,0.091607978309964
82,0.091607978309964,1,0.091607978309964
83,0.091607978309964,1,0.091607978309964
84,0.091607978309964,1,0.091607978309964
85,0.091607978309964,1,0.091607978309964
86,0.091607978309964,1,0.091607978309964
87,0.091607978309964,1,0.091607978309964
88,0.091607978309964,1,0.091607978309964
89,0.091607978309964,1,0.091607978309964
90,0.091607978309964,1,0.091607978309964
91,0.091607978309964,1,0.091607978309964
92,0.091607978309964,1,0.091607978309964
93,0.091607978309964,1,0.091607978309964
94,0.091607978309964,1,0.091607978309964
95,0.091607978309964,1,0.091607978309964
96,0.091607978309964,1,0.091607978309964
97,0.091607978309964,1,0.091607978309964
98,0.091607978309964,1,0.091607978309964
99,0.091607978309964,1,0.091607978309964
100,0.091607978309964,1,0.091607978309964
