time,center_ci,center_cs,center_cv,center_xi,center_xv,dd,dislocation_denisty,dt,rec_grn_area
0,0,0,0,0,0,-1.9138721906269e-24,58828.594555034,0,0
1,9.9012345918102e-07,1,1.0000004148523e-06,0.00099012345918102,0.0010000004148523,6.4822689746013e-19,58854.436309099,1,196.49868970606
2.2,2.1690876676266e-06,1,2.1999790977088e-06,0.0021690876676266,0.0021999790977088,2.0254278269996e-18,58855.469358922,1.2,-33.215754626187
3.64,3.5669431922323e-06,1,3.6399364781263e-06,0.0035669431922323,0.0036399364781263,4.7846101204358e-18,58855.479026479,1.44,-27.608462455862
5.368,5.2187420914138e-06,1,5.3678584088593e-06,0.0052187420914138,0.0053678584088593,9.7734034470601e-18,58855.499415922,1.728,-4.6110043694045
7.4416,7.1639473472398e-06,1,7.4413258091683e-06,0.0071639473472398,0.0074413258091683,1.8179183419095e-17,58855.499982125,2.0736,0.80557909108664
9.92992,9.4458025126408e-06,1,9.9294297572566e-06,0.0094458025126408,0.0099294297572566,3.1695894947421e-17,58855.499995232,2.48832,0.4166011359408
12.915904,1.211035746489e-05,1,1.2915072700177e-05,0.01211035746489,0.012915072700177,5.2738707575336e-17,58855.499999977,2.985984,0.028854852383595
16.4990848,1.52048741925e-05,1,1.6497726506221e-05,0.0152048741925,0.016497726506221,8.4729247914264e-17,58855.499999995,3.5831808,-0.013175548776151
20.79890176,1.8775353190741e-05,1,2.0796741654662e-05,0.018775353190741,0.020796741654662,1.3247457987287e-16,58855.5,4.29981696,-0.0025539465872853
25.958682112,2.2862917490113e-05,1,2.5955315850583e-05,0.022862917490113,0.025955315850583,2.0266426927802e-16,58855.5,5.159780352,0.00013546858306033
32.1504185344,2.7498821241068e-05,1,3.2145253557286e-05,0.027498821241068,0.032145253557286,3.0450942135818e-16,58855.5,6.1917364224,7.4858431575566e-05
39.58050224128,3.2697944571061e-05,1,3.9572672919286e-05,0.032697944571061,0.039572672919286,4.5054301075935e-16,58855.5,7.43008370688,2.4313540682944e-06
48.496602689536,3.845084555711e-05,1,4.8484847731178e-05,0.03845084555711,0.048484847731178,6.5758915878865e-16,58855.5,8.916100448256,-1.1730565894935e-06
59.195923227443,4.4714811548073e-05,1,5.9178408672265e-05,0.044714811548073,0.059178408672265,9.4788707010926e-16,58855.5,10.699320537907,-9.4088830808454e-08
72.035107872932,5.1404922389695e-05,1,7.2009171647574e-05,0.051404922389695,0.072009171647574,1.3503208234164e-15,58855.5,12.839184645489,1.0601137639957e-08
87.442129447518,5.8386895235413e-05,1,8.7403912883172e-05,0.058386895235413,0.087403912883172,1.9016599865906e-15,58855.5,15.407021574586,1.344042429836e-09
100,6.3328499864277e-05,1,9.9950019661791e-05,0.063328499864277,0.099950019661791,2.400028621048e-15,58855.5,12.557870552482,-2.7876056743898e-11
