time,average_xi,average_xv,left_xi,left_xs,left_xv
0,0,0,0,0,0
1,9.9854878051888e-07,9.9854878051888e-07,9.9991982700475e-07,0,9.9991982700475e-07
2.2,2.1964855561638e-06,2.1964855561638e-06,2.1995018425199e-06,0,2.1995018425199e-06
3.64,3.633101813538e-06,3.633101813538e-06,3.6380915575308e-06,0,3.6380915575308e-06
5.368,5.3549232625912e-06,5.3549232625912e-06,5.3622792175128e-06,0,5.3622792175128e-06
7.4416,7.4166724088165e-06,7.4166724088165e-06,7.4268637528713e-06,0,7.4268637528713e-06
9.92992,9.8820131859606e-06,9.8820131859606e-06,9.8955989580638e-06,0,9.8955989580638e-06
12.915904,1.2823783533763e-05,1.2823783533763e-05,1.2841427294461e-05,0,1.2841427294461e-05
16.4990848,1.6323169485141e-05,1.6323169485141e-05,1.6345654364876e-05,0,1.6345654364876e-05
20.79890176,2.0466921336818e-05,2.0466921336818e-05,2.0495163720343e-05,0,2.0495163720343e-05
25.958682112,2.5341229215974e-05,2.5341229215975e-05,2.5376287772753e-05,0,2.5376287772753e-05
32.1504185344,3.1020336917344e-05,3.1020336917344e-05,3.1063411242918e-05,0,3.1063411242918e-05
39.58050224128,3.7547670033963e-05,3.7547670033964e-05,3.7600079613686e-05,0,3.7600079613686e-05
48.496602689536,4.4907894693446e-05,4.4907894693446e-05,4.4971024518675e-05,0,4.4971024518676e-05
59.195923227443,5.2991161785157e-05,5.2991161785157e-05,5.3066357441966e-05,0,5.3066357441967e-05
72.035107872932,6.1557202008564e-05,6.1557202008565e-05,6.1645599006152e-05,0,6.1645599006152e-05
87.442129447518,7.021658528126e-05,7.0216585281262e-05,7.0318872948954e-05,0,7.0318872948955e-05
105.93055533702,7.8454051522286e-05,7.8454051522288e-05,7.8570208551122e-05,0,7.8570208551124e-05
128.11666640443,8.5712990947255e-05,8.5712990947259e-05,8.5842081315095e-05,0,8.5842081315099e-05
154.73999968531,9.1531670096127e-05,9.1531670096131e-05,9.1671820078053e-05,0,9.1671820078057e-05
186.68799962237,9.5680647511097e-05,9.5680647511103e-05,9.582928649865e-05,0,9.5829286498655e-05
225.02559954685,9.8230591592868e-05,9.8230591592875e-05,9.8384920221633e-05,0,9.8384920221639e-05
271.03071945622,9.9508372112865e-05,9.9508372112871e-05,9.9665889811579e-05,0,9.9665889811586e-05
326.23686334746,9.9962653341307e-05,9.9962653341314e-05,0.00010012153603572,0,0.00010012153603573
392.48423601695,0.00010001007460018,0.00010001007460019,0.00010016927922086,0,0.00010016927922086
471.98108322034,9.9934274022116e-05,9.993427402212e-05,0.00010009338358525,0,0.00010009338358525
567.37729986441,9.9868443482257e-05,9.9868443482261e-05,0.00010002740382101,0,0.00010002740382102
681.8527598373,9.9840904928454e-05,9.984090492846e-05,9.9999783520589e-05,0,9.9999783520595e-05
819.22331180476,9.9836851826886e-05,9.9836851826893e-05,9.9995710578834e-05,0,9.9995710578841e-05
984.06797416571,9.9839218221822e-05,9.9839218221829e-05,9.9998080555637e-05,0,9.9998080555644e-05
1181.8815689988,9.984087586365e-05,9.9840875863657e-05,9.9999742844602e-05,0,9.9999742844609e-05
1419.2578827986,9.984124138302e-05,9.9841241383027e-05,0.00010000010975745,0,0.00010000010975746
1704.1094593583,9.9841188252781e-05,9.9841188252788e-05,0.00010000005657912,0,0.00010000005657913
