time,average_xi,average_xv,center_xi,center_xs,center_xv
0,0,0,0,0,0
1,9.9541477436129e-07,9.954147743613e-07,4.0188191703434e-07,0,4.0188191703435e-07
2.2,2.1895914876329e-06,2.1895914876329e-06,8.8399113088083e-07,0,8.8399113088085e-07
3.64,3.6216975751128e-06,3.6216975751129e-06,1.4620889060153e-06,0,1.4620889060154e-06
5.368,5.3381112661572e-06,5.3381112661575e-06,2.1547956569557e-06,0,2.1547956569559e-06
7.4416,7.393380427768e-06,7.393380427769e-06,2.9839279271579e-06,0,2.9839279271584e-06
9.92992,9.8509636740118e-06,9.8509636740146e-06,3.9747130278871e-06,0,3.9747130278887e-06
12.915904,1.2783460164092e-05,1.27834601641e-05,5.1557358817667e-06,0,5.155735881771e-06
16.4990848,1.6271782840364e-05,1.6271782840384e-05,6.5583606855069e-06,0,6.5583606855183e-06
20.79890176,2.0402377778254e-05,2.0402377778307e-05,8.2152145288849e-06,0,8.2152145289143e-06
25.958682112,2.5261110493318e-05,2.5261110493451e-05,1.0157121281972e-05,0,1.0157121282046e-05
32.1504185344,3.0921903687407e-05,3.0921903687731e-05,1.2407687965697e-05,0,1.2407687965875e-05
39.58050224128,3.7427910596658e-05,3.7427910597424e-05,1.4974741943047e-05,0,1.4974741943461e-05
48.496602689536,4.476365025821e-05,4.4763650259941e-05,1.783835646153e-05,0,1.7838356462447e-05
59.195923227443,5.2819367512467e-05,5.2819367516173e-05,2.0936827060372e-05,0,2.0936827062287e-05
72.035107872932,6.1355278355582e-05,6.1355278362996e-05,2.4155037583068e-05,0,2.4155037586776e-05
87.442129447518,6.9982978118331e-05,6.9982978131985e-05,2.732337615996e-05,0,2.7323376166525e-05
105.93055533702,7.8188834977016e-05,7.8188834999843e-05,3.023657578071e-05,0,3.0236575791196e-05
128.11666640443,8.5418328995805e-05,8.5418329030118e-05,3.2695895627554e-05,0,3.2695895642571e-05
154.73999968531,9.1211861485686e-05,9.1211861531959e-05,3.4563904839803e-05,0,3.4563904859125e-05
186.68799962237,9.534156808442e-05,9.5341568140857e-05,3.58072340807e-05,0,3.5807234103329e-05
225.02559954685,9.7878621955032e-05,9.7878622018433e-05,3.6502993205945e-05,0,3.6502993230615e-05
271.03071945622,9.9149196715685e-05,9.9149196782939e-05,3.6803456988609e-05,0,3.6803457014305e-05
326.23686334746,9.9600407086105e-05,9.9600407155144e-05,3.6877833853428e-05,0,3.6877833879572e-05
392.48423601695,9.9647117171451e-05,9.96471172212e-05,3.6860960746798e-05,0,3.6860960780672e-05
471.98108322034,9.9571551621271e-05,9.9571551701816e-05,3.6830260103731e-05,0,3.6830260158127e-05
567.37729986441,9.9506064966856e-05,9.950606510093e-05,3.6812785571232e-05,0,3.6812785646225e-05
681.8527598373,9.9478696209358e-05,9.9478696386392e-05,3.6807986828981e-05,0,3.6807986916686e-05
819.22331180476,9.9474679792498e-05,9.9474679991297e-05,3.6808385838253e-05,0,3.6808385930995e-05
984.06797416571,9.9477036789336e-05,9.9477036994838e-05,3.6809312614968e-05,0,3.6809312708764e-05
1181.8815689988,9.947868445197e-05,9.9478684658197e-05,3.6809650468855e-05,0,3.6809650562616e-05
1419.2578827986,9.9479047097898e-05,9.947904730388e-05,3.680966614404e-05,0,3.6809666237755e-05
1704.1094593583,9.9479047097898e-05,9.947904730388e-05,3.680966614404e-05,0,3.6809666237755e-05
